Title,Date,Link,Authors,Affiliations
Diagnosing Optic Neuritis in Neuromyelitis Optica Spectrum Disorders (NMOSD) Using 6 Machine Learning Models with MRI,"30 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03363-6,"Yang Feng, Li Sze Chow, Nadia Muhammad Gowdh, Norlisah Ramli, Li Kuo Tan, Suhailah Abdullah, Sew Sun Tiang","Department of Electrical and Electronic Engineering, Faculty of Engineering and Built Environment, UCSI University, 1, Jalan Puncak Menara Gading, Taman Connaught, 56000, Cheras, Kuala Lumpur, Malaysia, Department of Biomedical Imaging, Faculty of Medicine, Universiti Malaya, 50603, Kuala Lumpur, Malaysia, Department of Medicine, Faculty of Medicine, Universiti Malaya, 50603, Kuala Lumpur, Malaysia"
Neural Networks Implementations on FPGA for Biomedical Applications: A Review,"30 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03381-4,"Neethu Mohan, Asmaa Hosni, Mohamed Atef","Electrical and Communication Engineering Department, College of Engineering, United Arab Emirates University, 15551, Al Ain, Abu Dhabi, United Arab Emirates, College of Information Technology, United Arab Emirates University, 15551, Al Ain, Abu Dhabi, United Arab Emirates"
Blending BDI Agents with Object-Oriented and Functional Programming with JaKtA,"30 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03244-y,"Martina Baiardi, Samuele Burattini, Giovanni Ciatto, Danilo Pianini","Department of Computer Science and Engineering (DISI), Alma Mater Studiorum, Universitá di Bologna, Via dell’Universitá 50, 47522, Cesena, FC, Italy"
Determining Twitter Trending Hashtags and Sentiments Associated via Machine Learning Approaches,"29 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03387-y,"Tanvi Bisht, Muskan Singh, Shweta Singhal","Indira Gandhi Delhi Technical University for Women, Delhi, India"
Diabetes Mellitus Prediction and Severity Calculation Using Stacked Ensemble Method,"29 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03373-4,"G. Ananthi, S. Santhiya, V. Gokila","Department of Computer Science and Engineering, Mepco Schlenk Engineering College (Autonomous), Sivakasi, India"
Stacking Enabled Ensemble Learning Based Intrusion Detection Scheme (SELIDS) for IoV,"28 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03376-1,"Abhijeet Pratap Singh, Brijesh Kumar Chaurasia, Ashish Tripathi","Department of Information Technology, Pranveer Singh Institute of Technology, Kanpur, India, Department of Computer Science and Engineering, Pranveer Singh Institute of Technology, Kanpur, India"
Auto-GeRo: An IOT based Geo Spatial Model for Real-Time Road Condition Detection,"28 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03362-7,"Akhilesh Kumar Singh, Damodar Reddy Edla","CSE, NIT, Cuncolim, Goa, India"
An Optimal Jobs’ Admission Control System for Priority-Based Queue Network,"28 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03393-0,"Adegbuyi David Gbadebo, Adio Taofiki Akinwale, Adesina Simon Sodiya, Simeon Ayoola Akinleye","Department of Computer Science Education, Lagos State University of Education, Oto/Ijanikin, Lagos State, Nigeria, Department of Computer Science, Federal University of Agriculture, Alabata, Abeokuta, Ogun State, Nigeria, Department of Mathematics, Federal University of Agriculture, Alabata, Abeokuta, Ogun State, Nigeria"
Smart Cities: Aligning Tech Efficiency with Social Justice,"28 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03354-7,"Alfonso Valenzuela-Aguilera, Guillermo Romero-Tecua, Daniel Aguilar-Velázquez, Iván Rivera Islas","Universidad Autónoma del Estado de Morelos, Cuernavaca, Mexico, Instituto Politécnico Nacional, Ciudad de México, Mexico"
A Comprehensive Classification Approach by Integrating Principal Component Analysis and Support Vector Machines for Advanced Intrusion Detection Systems,"28 October 2024
",https://link.springer.com/article/10.1007/s42979-024-03308-z,"C. Pavithra, M. Saradha","Department of Mathematics, REVA University, Bangalore, India"
