Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Year,Country
41128771.0,20362329.0,20766442.0,35.143,6.906,9.0,18.3400733643662,46.5890700291054,47.4494301123473,34.1022401543248,14.1,14502158192.0904,1.4070004587628437,43060882.4858757,4887435028.24859,3671.569693726004,20.0,78.3627517306781,59.766,66.213,101.40434502229733,33.94007270469477,93.21315047900283,2022,Afghanistan
40099462.0,19844584.0,20254878.0,35.842,7.344,9.0,18.6353431394595,46.5878230132384,53.1999677701088,27.1031802557384,11.934,14266499429.8746,-22.9026513933626,86132933.8654504,4793204104.90308,3671.569693726004,20.0,78.3627517306781,58.915,65.279,101.40434502229733,33.94007270469477,93.21315047900283,2021,Afghanistan
38972230.0,19279929.0,19692301.0,36.051,7.113,9.0,18.4813218612413,45.9834078243144,53.8164684107322,26.4351469400845,11.71,19955929052.1496,1.4070004587628437,149227717.041072,5981905980.86851,3671.569693726004,18.2,78.3627517306781,59.866,65.432,101.40434502229733,10.8584403991699,93.21315047900283,2020,Afghanistan
37769499.0,18679090.0,19090409.0,36.466,6.791,9.0,18.2281163769903,45.0160398729983,58.8156025986005,25.2965269526919,11.224,18799444490.1128,1.4070004587628437,281217520.635116,4845363322.05338,3671.569693726004,18.9,78.3627517306781,60.619,66.677,110.007507324219,33.94007270469477,86.1755218505859,2019,Afghanistan
36686784.0,18136922.0,18549862.0,36.927,6.981,9.0,18.1437410061432,44.4535996123663,63.1374945194362,24.2137140031904,11.206,18053222687.4126,1.4070004587628437,241291270.13968,3979453237.53176,3671.569693726004,18.3,78.3627517306781,59.923,66.458,107.780532836914,9.96378993988037,88.7355194091797,2018,Afghanistan
35643418.0,17614722.0,18028696.0,37.342,7.027,9.0,18.0264530201044,43.9890310514772,66.5834959935691,23.6052048285705,11.184,18753456497.8159,1.4070004587628437,208313289.638984,4954700541.75017,3671.569693726004,19.5,78.3627517306781,60.105,66.099,106.129997253418,33.94007270469477,87.2533264160156,2017,Afghanistan
34636207.0,17115346.0,17520861.0,37.936,7.077,9.0,19.2959851865161,44.3371365256191,66.1778235504342,24.7779046855531,10.1,18116572395.0772,1.4070004587628437,233903480.222699,4663262627.13517,3671.569693726004,20.2,78.3627517306781,61.193,65.096,106.150283813477,33.94007270469477,82.9104614257812,2016,Afghanistan
33753499.0,16682053.0,17071446.0,38.803,7.331,9.0,20.7135338473192,44.593516271076,65.5625920862001,26.1089653539119,9.011,19134221644.7325,1.4070004587628437,115277794.013026,3948217043.4989,3671.569693726004,17.7,78.3627517306781,60.76,64.576,106.182418823242,33.94007270469477,93.21315047900283,2015,Afghanistan
32716210.0,16172321.0,16543889.0,39.105,7.395,9.0,22.0467405899225,44.7985939684023,64.9253041607851,27.4107402926217,7.915,20497128555.6972,1.4070004587628437,62543769.2122008,4537457828.43798,3671.569693726004,19.1,78.3627517306781,60.812,64.274,109.115516662598,8.31087017059326,93.21315047900283,2014,Afghanistan
31541209.0,15594637.0,15946572.0,39.601,7.478,9.0,19.5361024242991,47.6973147130215,67.5583043642297,25.4921383623387,7.919,20146416757.5987,1.4070004587628437,62936900.2067644,4595531180.00041,3671.569693726004,16.9,78.3627517306781,60.791,64.027,107.695976257324,33.94007270469477,93.21315047900283,2013,Afghanistan
30466479.0,15067374.0,15399105.0,40.009,7.711,9.0,17.1489900123872,50.4166883853554,70.1667867425878,23.4905426258071,7.909,19907329777.5872,1.4070004587628437,53931817.4381565,4855571648.43621,3671.569693726004,15.4,78.3627517306781,60.317,63.514,106.283401489258,33.94007270469477,93.21315047900283,2012,Afghanistan
29249157.0,14468875.0,14780282.0,39.855,7.931,9.0,15.7892578015891,52.7909099883452,73.2528494231241,20.4423911756673,7.916,17805098206.3141,1.4070004587628437,-23586775.0840476,4227582690.79689,3671.569693726004,12.6,78.3627517306781,59.825,62.993,100.290298461914,3.75560998916626,93.21315047900283,2011,Afghanistan
28189672.0,13949295.0,14240377.0,40.602,8.254,9.0,15.0298662060369,54.3494198640771,75.0429283326996,18.6723237336642,7.914,15856668555.8336,1.4070004587628437,29106508.4686418,4156043696.24108,3671.569693726004,15.2,78.3627517306781,59.278,62.408,102.903442382812,33.94007270469477,93.21315047900283,2010,Afghanistan
27385307.0,13557330.0,13827977.0,41.157,8.535,9.0,13.7454481097029,56.7226890756302,77.4891330389842,15.9428767602091,7.914,12416152732.0567,1.4070004587628437,-37811801.5379949,3637622477.63069,3671.569693726004,16.5,78.3627517306781,58.82,61.892,99.3697204589844,4.02480983734131,93.21315047900283,2009,Afghanistan
26427199.0,13088193.0,13339006.0,41.506,8.832,9.0,12.4168423283851,59.0025399171689,79.891829870816,13.0240638562457,7.92,10109297047.5432,1.4070004587628437,-2101054.68453511,2516433516.78043,3671.569693726004,21.2,78.3627517306781,58.172,61.529,103.413963317871,33.94007270469477,93.21315047900283,2008,Afghanistan
25903301.0,12835340.0,13067961.0,43.858,9.359,6.0,12.0147448900677,59.8526540961945,80.6586857582515,12.2791231433303,7.908,9747886187.39393,1.4070004587628437,208619707.236547,2934602243.82149,3671.569693726004,28.8,78.3627517306781,57.342,60.909,101.086456298828,33.94007270469477,93.21315047900283,2007,Afghanistan
25442944.0,12614497.0,12828447.0,44.721,9.679,6.0,11.5336214082648,60.8719056790228,81.8760340959295,11.0900562201682,7.918,6971758282.29351,1.4070004587628437,208619707.236547,1996430511.50265,3671.569693726004,31.9,78.3627517306781,57.133,60.243,103.932243347168,33.94007270469477,93.21315047900283,2006,Afghanistan
24411191.0,12109087.0,12302104.0,45.263,9.941,6.0,11.0745405522403,61.6371750441572,82.6259293549926,10.4636534522908,7.914,6203256538.70967,1.4070004587628437,208619707.236547,1930134271.84251,3671.569693726004,33.9,78.3627517306781,57.013,59.697,100.229690551758,33.94007270469477,93.21315047900283,2005,Afghanistan
23553551.0,11690825.0,11862726.0,46.33,10.277,6.0,10.4554287697638,62.6406240501687,83.6247943236274,9.58590687186465,7.914,5224896718.67782,1.4070004587628437,208619707.236547,1552895061.63349,3671.569693726004,44.2,78.3627517306781,56.658,59.216,106.252662658691,1.38966000080109,93.21315047900283,2004,Afghanistan
22645130.0,11247647.0,11397483.0,47.35,10.698,6.0,10.121117613035,63.2560905870357,83.9458423536046,9.49634283116661,7.922,4520946818.54581,1.4070004587628437,208619707.236547,1691686554.69326,3671.569693726004,36.7,78.3627517306781,56.032,58.65,96.5536804199219,1.38107001781464,93.21315047900283,2003,Afghanistan
21000256.0,10438054.0,10562202.0,48.201,11.28,6.0,9.71954402340804,63.9316149892018,84.6926719547003,8.93678584817181,7.939,3825701438.99963,1.4070004587628437,208619707.236547,1477787814.89031,3671.569693726004,37.8,78.3627517306781,55.227,57.672,75.9597473144531,33.94007270469477,93.21315047900283,2002,Afghanistan
19688632.0,9793165.0,9895467.0,48.979,11.713,6.0,9.00795255488713,65.2541894141999,86.2878650000364,7.44348914918865,7.958,2813571753.87253,1.4070004587628437,0.0,31235740622.087406,3671.569693726004,45.6,78.3627517306781,54.272,57.344,22.9085903167725,33.94007270469477,93.21315047900283,2001,Afghanistan
19542982.0,9727540.0,9815442.0,49.664,12.096,6.0,9.20786306552223,65.3479607149601,86.0410955473686,7.96883585202775,7.955,3521418059.92345,1.4070004587628437,208619707.236547,31235740622.087406,3671.569693726004,45.0,78.3627517306781,53.762,56.858,22.1629905700684,33.94007270469477,93.21315047900283,2000,Afghanistan
